Date;wind_speed;orientation
12/03/20 12:00;10.17;90.02
12/03/20 13:00;10.17;90.02
12/03/20 14:00;10.17;90.02
12/03/20 15:00;10.17;90.02
12/03/20 16:00;10.17;90.02
12/03/20 17:00;10.17;90.02
12/03/20 18:00;10.17;90.02
12/03/20 19:00;10.17;90.02
12/03/20 20:00;10.17;90.02
12/03/20 21:00;10.17;90.02
12/03/20 22:00;10.17;90.02
12/03/20 23:00;10.17;90.02
13/03/20 00:00;10.17;90.02
13/03/20 01:00;9.285;90.03
13/03/20 02:00;8.4;90.04
13/03/20 03:00;7.515;90.05
13/03/20 04:00;7.71;90.05
13/03/20 05:00;7.89;90.04
13/03/20 06:00;8.085;90.04
13/03/20 07:00;7.545;90.04
13/03/20 08:00;7.02;90.05
13/03/20 09:00;6.48;90.05
13/03/20 10:00;6.6;90.04
13/03/20 11:00;6.72;90.02
13/03/20 12:00;6.84;90.01
13/03/20 13:00;7.11;90
13/03/20 14:00;7.38;89.97
13/03/20 15:00;7.635;89.96
13/03/20 16:00;7.905;89.95
13/03/20 17:00;8.175;89.94
13/03/20 18:00;8.445;89.93
13/03/20 19:00;7.395;89.92
13/03/20 20:00;6.345;89.91
13/03/20 21:00;5.295;89.91
13/03/20 22:00;4.695;89.92
13/03/20 23:00;4.095;89.92
14/03/20 00:00;3.495;89.93
14/03/20 01:00;3.33;89.95
14/03/20 02:00;3.165;89.96
14/03/20 03:00;3;89.98
14/03/20 04:00;2.265;90
14/03/20 05:00;1.53;90.02
14/03/20 06:00;0.795;149.99
14/03/20 07:00;0.899999999999999;209.95
14/03/20 08:00;1.02;269.92
14/03/20 09:00;1.125;209.98
14/03/20 10:00;1.305;150.05
14/03/20 11:00;1.485;90.11
14/03/20 12:00;1.665;90.09
14/03/20 13:00;3;90.06
14/03/20 14:00;4.335;90.04
14/03/20 15:00;5.67;90.04
14/03/20 16:00;6;90.04
14/03/20 17:00;6.345;90.04
14/03/20 18:00;6.675;90.04
14/03/20 19:00;6.765;90.04
14/03/20 20:00;6.87;90.04
14/03/20 21:00;6.96;90.04
14/03/20 22:00;7.335;90.03
14/03/20 23:00;7.725;90.03
15/03/20 00:00;8.1;90.03
15/03/20 01:00;8.04;90.02
15/03/20 02:00;7.965;90.02
15/03/20 03:00;7.905;90.03
15/03/20 04:00;6.885;90.04
15/03/20 05:00;5.85;90.05
15/03/20 06:00;4.83;90.05
15/03/20 07:00;4.86;90.04
15/03/20 08:00;4.875;90.04
15/03/20 09:00;4.905;90.02
15/03/20 10:00;5.61;90
15/03/20 11:00;6.3;89.98
15/03/20 12:00;7.005;90.01
15/03/20 13:00;5.28;90.05
15/03/20 14:00;3.54;90.08
15/03/20 15:00;1.815;90.09
15/03/20 16:00;1.95;90.11
15/03/20 17:00;2.07;90.12
15/03/20 18:00;2.205;90.11
15/03/20 19:00;2.76;90.1
15/03/20 20:00;3.315;90.09
15/03/20 21:00;3.885;90.08
15/03/20 22:00;4.44;90.07
15/03/20 23:00;4.995;90.06
16/03/20 00:00;5.55;90.05
16/03/20 01:00;6.12;90.04
16/03/20 02:00;6.675;90.03
16/03/20 03:00;7.23;90.05
16/03/20 04:00;5.895;90.07
16/03/20 05:00;4.575;90.09
16/03/20 06:00;3.24;90.12
16/03/20 07:00;2.7;90.15
16/03/20 08:00;2.175;90.18
16/03/20 09:00;1.635;90.17
16/03/20 10:00;1.845;90.15
16/03/20 11:00;2.055;90.14
16/03/20 12:00;2.265;90.11
16/03/20 13:00;3.48;90.08
16/03/20 14:00;4.68;90.05
16/03/20 15:00;5.895;90.05
16/03/20 16:00;6.39;90.04
16/03/20 17:00;6.885;90.04
16/03/20 18:00;7.38;90.04
16/03/20 19:00;7.86;90.03
16/03/20 20:00;8.355;90.03
16/03/20 21:00;8.85;90.03
16/03/20 22:00;9.09;90.02
16/03/20 23:00;9.345;90.02
17/03/20 00:00;9.585;90.02
17/03/20 01:00;8.955;90.02
17/03/20 02:00;8.34;90.02
17/03/20 03:00;7.71;90.02
17/03/20 04:00;7.35;90.03
17/03/20 05:00;7.005;90.03
17/03/20 06:00;6.645;90.04
17/03/20 07:00;6.12;90.04
17/03/20 08:00;5.58;90.05
17/03/20 09:00;5.055;90.04
17/03/20 10:00;5.445;90.04
17/03/20 11:00;5.835;90.03
17/03/20 12:00;6.225;90.02
17/03/20 13:00;6.615;90.02
17/03/20 14:00;7.005;90.01
17/03/20 15:00;7.395;90.01
17/03/20 16:00;7.215;90.01
17/03/20 17:00;7.035;90.01
17/03/20 18:00;6.855;90.01
17/03/20 19:00;7.065;90.01
17/03/20 20:00;7.29;90.01
17/03/20 21:00;7.5;90.01
17/03/20 22:00;7.815;90
17/03/20 23:00;8.145;90
18/03/20 00:00;8.46;90
18/03/20 01:00;8.01;89.99
18/03/20 02:00;7.56;89.99
18/03/20 03:00;7.11;89.99
18/03/20 04:00;6.315;89.99
18/03/20 05:00;5.52;89.99
18/03/20 06:00;4.725;89.99
18/03/20 07:00;5.04;90
18/03/20 08:00;5.34;90
18/03/20 09:00;5.655;90
18/03/20 10:00;5.925;90
18/03/20 11:00;6.21;90
18/03/20 12:00;6.48;90
18/03/20 13:00;6.09;89.99
18/03/20 14:00;5.715;89.99
18/03/20 15:00;5.325;89.99
18/03/20 16:00;5.55;89.98
18/03/20 17:00;5.79;89.98
18/03/20 18:00;6.015;89.98
18/03/20 19:00;6.405;89.99
18/03/20 20:00;6.81;89.99
18/03/20 21:00;7.2;89.99
18/03/20 22:00;7.275;89.98
18/03/20 23:00;7.365;89.98
19/03/20 00:00;7.44;89.98
19/03/20 01:00;7.26;89.98
19/03/20 02:00;7.08;89.98
19/03/20 03:00;6.9;89.98
19/03/20 04:00;6.585;89.97
19/03/20 05:00;6.285;89.97
19/03/20 06:00;5.97;89.98
19/03/20 07:00;6.135;89.98
19/03/20 08:00;6.315;89.99
19/03/20 09:00;6.48;89.99
19/03/20 10:00;6.12;89.98
19/03/20 11:00;5.775;89.98
19/03/20 12:00;5.415;89.98
19/03/20 13:00;5.955;89.97
19/03/20 14:00;6.48;89.97
19/03/20 15:00;7.02;89.97
19/03/20 16:00;7.185;89.97
19/03/20 17:00;7.335;89.97
19/03/20 18:00;7.5;89.97
19/03/20 19:00;7.26;89.97
19/03/20 20:00;7.02;89.97
